time,original_signal,deconvolved_signal
654,0.14437807,2.351525133720619e-05
655,0.14246364,-2.3155400147288677e-05
656,0.14057495,2.2806473470325275e-05
657,0.13871159,-2.2467987070209955e-05
658,0.13687319,2.213948369105386e-05
659,0.13505934,-2.1820531330452774e-05
660,0.13326971,2.1510721623599244e-05
661,0.13150391,-2.120966834083523e-05
662,0.12976164,2.091700598384705e-05
663,0.12804252,-2.0632388481999446e-05
664,0.12634626,2.035548797317688e-05
665,0.12467253,-2.0085993673527963e-05
666,0.12302102,1.9823610820443114e-05
667,0.12139143,-1.956805969357826e-05
668,0.11978346,1.931907469495779e-05
669,0.11819682,-1.9076403501912867e-05
670,0.11663121,1.8839806268279822e-05
671,0.11508635,-1.860905488738733e-05
672,0.11356198,1.8383932297524557e-05
673,0.11205781,-1.8164231841031627e-05
674,0.11057357,1.7949756659788818e-05
675,0.10910901,-1.7740319136332046e-05
676,0.10766385,1.7535740365701713e-05
677,0.10623783,-1.73358496677641e-05
678,0.1048307,1.7140484125680664e-05
679,0.10344222,-1.6949488158938192e-05
680,0.10207213,1.6762713119419462e-05
681,0.10072019,-1.6580016915942985e-05
682,0.099386156,1.6401263659654813e-05
683,0.098069794,-1.622632333577201e-05
684,0.096770868,1.6055071489155044e-05
685,0.095489152,-1.5887388936976757e-05
686,0.094199158,1.5723161490081834e-05
687,0.092951506,-1.5562279700636358e-05
688,0.091720372,1.540463861455995e-05
689,0.090505548,-1.5250137548103264e-05
690,0.089306816,1.5098679870343784e-05
691,0.088123962,-1.4950172803314863e-05
692,0.086956769,1.4804527229046017e-05
693,0.085805044,-1.4661657512031452e-05
694,0.084668569,1.4521481326880805e-05
695,0.083547145,-1.438391950289031e-05
696,0.082440577,1.4248895865549118e-05
697,0.081348665,-1.4116337100550899e-05
698,0.080271214,1.3986172612476366e-05
699,0.079208031,-1.3858334400903042e-05
700,0.078158937,1.3732756933601803e-05
701,0.077123731,-1.3609377037634356e-05
702,0.076102242,1.3488133782345814e-05
703,0.075094283,-1.3368968381717159e-05
704,0.074099667,1.3251824090706542e-05
705,0.073118232,-1.3136646112509236e-05
706,0.072149791,1.3023381507437648e-05
707,0.071194179,-1.2911979109034633e-05
708,0.070251219,1.2802389437595709e-05
709,0.069320753,-1.2694564624756786e-05
710,0.068402611,1.2588458334955515e-05
711,0.067496635,-1.2484025693818051e-05
712,0.066602647,1.2381223215442107e-05
713,0.065720506,-1.2280008735752785e-05
714,0.064850055,1.2180341342651485e-05
715,0.063991122,-1.2082181314260274e-05
716,0.063143574,1.1985490050065551e-05
717,0.062307246,-1.189023001108088e-05
718,0.061481997,1.1796364653368604e-05
719,0.060667675,-1.1703858366956867e-05
720,0.059864141,1.1612676407594337e-05
721,0.05907125,-1.1522784833535601e-05
722,0.058288861,1.143415043619219e-05
723,0.057516836,-1.1346740668462493e-05
724,0.056755036,1.126052356797421e-05
725,0.056003325,-1.1175467677276175e-05
726,0.055261567,1.1091541953040482e-05
727,0.054529637,-1.1008715669277082e-05
728,0.053807404,1.0926958307967048e-05
729,0.053094734,-1.0846239432870184e-05
730,0.052391499,1.0766528546355403e-05
731,0.051697582,-1.0687794922205286e-05
732,0.051012859,1.0610007405603029e-05
733,0.050337199,-1.0533134175223799e-05
734,0.049670491,1.0457142452954336e-05
735,0.049012616,-1.038199814820473e-05
736,0.048363451,1.0307665412104447e-05
737,0.047722884,-1.0234106076419874e-05
738,0.047090802,1.0161278936569338e-05
739,0.046467092,-1.0089138821664773e-05
740,0.045851644,1.0017635371317133e-05
741,0.045244347,-9.94671140559452e-06
742,0.044645093,9.876300713888972e-06
743,0.044053774,-9.806325007654475e-06
744,0.043481939,9.73668963365526e-06
745,0.042906027,-9.667277422522604e-06
746,0.042337745,9.597939642996305e-06
747,0.041776989,-9.528482350939764e-06
748,0.04122366,9.45864513619199e-06
749,0.040677659,-9.388066867965489e-06
750,0.040138889,9.316228143916306e-06
751,0.039607257,-9.242349792505898e-06
