time,original_signal,deconvolved_signal
3648073235.98,336.5932498,538.8887528352809
3648073236.98,181.2785049,-55.84396442251041
3648073237.98,483.7876186,327.92596345790434
3648073238.98,471.5033341,831.7739507465667
3648073239.98,445.7795992,632.2083411924336
3648073240.98,439.02006,546.0722480169716
3648073241.98,338.2804804,333.60673300224624
3648073242.98,393.5678862,187.49982529445447
3648073243.98,489.1628399,582.4805382893564
3648073244.98,419.615116,550.6427568021369
3648073245.98,380.5645974,367.55754633242697
3648073246.98,234.0407344,32.62993140051886
3648073247.98,491.0994787,284.33471066773654
3648073248.98,446.3098012,735.1836604419656
3648073249.98,497.7903329,570.5580026598863
3648073250.98,547.3164842,818.2724896707475
3648073251.98,355.5528354,486.3269655607893
3648073252.98,247.046724,-70.5543454750264
3648073253.98,538.682472,370.2601861512418
3648073254.98,432.1088083,720.0300707959735
3648073255.98,539.1595419,571.2682928347265
3648073256.98,295.4001073,483.0519389866908
3648073257.98,342.7516436,-126.17446541480693
3648073258.98,544.8033102,618.9234251407381
3648073259.98,503.6908202,750.6566729784236
3648073260.98,489.6092694,689.8831259710611
3648073261.98,465.1818424,446.21116479952383
3648073262.98,481.7961715,594.2481286300753
3648073263.98,328.6159365,162.23048385690169
3648073264.98,643.2411727,565.3522964056073
3648073265.98,567.1587773,1016.475249618255
3648073266.98,622.6685364,819.3434822675554
3648073267.98,600.9564735,845.4146249692442
3648073268.98,630.6318566,821.8207702141298
3648073269.98,389.1912987,404.8578579909042
3648073270.98,569.8655266,211.6801091427708
3648073271.98,658.5102994,889.0706723810443
3648073272.98,651.2941327,920.9806845297006
3648073273.98,427.1891434,508.3207170523408
3648073274.98,559.5937371,179.62808945696256
3648073275.98,674.3627135,905.1820744195377
3648073276.98,590.1923403,759.6469590214665
3648073277.98,647.2638808,759.9500210615174
3648073278.98,627.3833569,732.4098114254191
3648073279.98,613.6333104,744.3387165002895
3648073280.98,462.9021976,336.64909853205876
3648073281.98,661.9332824,481.3634554970576
3648073282.98,650.2333563,901.5241310836415
3648073283.98,617.7389994,739.4498073392352
3648073284.98,517.5509956,491.2813379000593
3648073285.98,590.4864985,419.9861412557308
3648073286.98,634.1159344,721.5580949901389
3648073287.98,606.8474613,716.8933504029678
3648073288.98,572.5327879,577.6230361780756
3648073289.98,622.7873731,613.023450850018
3648073290.98,590.411434,664.2163644452442
3648073291.98,626.9458216,635.0184030881796
3648073292.98,619.8703777,710.6628687729818
3648073293.98,674.3287202,751.3999106303712
3648073294.98,612.76122,768.0686109177373
3648073295.98,652.4085533,619.5692139951907
3648073296.98,665.8417173,821.7485635392459
3648073297.98,534.9395331,517.5193481166291
3648073298.98,641.0255097,471.98536875695885
3648073299.98,689.0705321,844.9076245206248
3648073300.98,618.8110448,737.8735004281912
3648073301.98,617.5025366,597.3983162817826
3648073302.98,554.6032451,499.06303809567174
3648073303.98,599.5731801,467.1608870355809
3648073304.98,600.2280861,612.0236740582131
3648073305.98,644.8365748,668.3630544841071
3648073306.98,574.019039,663.6059785462264
3648073307.98,588.6930972,482.1672216750883
3648073308.98,576.4235277,593.218668803859
3648073309.98,553.4649361,459.3305754859422
3648073310.98,633.2355551,624.9076298879409
3648073311.98,669.3023257,816.0001857508687
3648073312.98,634.5065311,810.91413128888
3648073313.98,619.9308205,639.7468144246932
3648073314.98,620.0659089,651.9329628975727
3648073315.98,649.6858783,653.066273491308
3648073316.98,629.3429993,739.9115319714516
3648073317.98,550.7015157,475.05851664089005
3648073318.98,604.2423658,489.8193032709164
3648073319.98,588.6822008,576.7664920303183
3648073320.98,601.8320564,584.154558945081
3648073321.98,589.0083965,590.1491552263258
3648073322.98,552.2682332,514.1338768755564
3648073323.98,611.9892001,523.0074966321084
3648073324.98,659.6193649,798.3368237028184
3648073325.98,603.4453399,701.4954921928734
3648073326.98,646.9022483,671.7196945619398
3648073327.98,619.0221757,703.3865470008692
3648073328.98,576.2126297,548.3560487840734
3648073329.98,687.8493819,639.6598818916068
3648073330.98,669.7501056,918.5507419090475
3648073331.98,541.9022869,497.0416828413538
3648073332.98,627.1822844,498.1984754506607
3648073333.98,521.6866266,482.67215567374683
3648073334.98,639.7156976,482.04888706909355
3648073335.98,563.6234302,689.2183064397615
3648073336.98,466.5793385,264.84814521781306
3648073337.98,495.3026306,253.47896978791016
3648073338.98,461.6004881,285.43875316521087
3648073339.98,443.4731323,270.05298219181253
3648073340.98,406.7167174,169.5697271802929
3648073341.98,581.0659379,489.8271583894458
3648073342.98,444.9209198,631.9332893122914
3648073343.98,551.8265534,393.51282864770263
3648073344.98,592.1970122,857.1558000391068
3648073345.98,438.83943,469.72220582322
3648073346.98,453.0060571,271.15115567572406
3648073347.98,524.7273482,394.6143704942194
3648073348.98,636.3444496,826.1494663208376
3648073349.98,590.6259175,824.5785249911869
3648073350.98,589.0061148,737.1512975707215
3648073351.98,490.905717,462.399002100027
3648073352.98,567.5132386,465.01618369730954
3648073353.98,542.1365146,552.092083544681
3648073354.98,597.4515807,633.716961293647
3648073355.98,456.219865,455.88616563776407
3648073356.98,579.185551,384.88344879011106
3648073357.98,519.5698235,624.2210905845343
3648073358.98,585.4532588,490.77068417913773
3648073359.98,571.9654728,755.7556600142789
3648073360.98,295.1416187,141.5971912478332
3648073361.98,636.0177882,306.780485735931
3648073362.98,561.669888,912.5231276199246
3648073363.98,554.5356777,532.5087887216681
3648073364.98,533.953635,639.000411744047
3648073365.98,252.9387362,85.61899248894969
3648073366.98,476.4471669,121.8283833510635
3648073367.98,438.3287858,407.8982666419613
3648073368.98,510.8060781,456.6619913974667
3648073369.98,589.8428615,752.675914301456
3648073370.98,371.078332,532.4583520567598
3648073371.98,353.5480704,-96.00457483179034
3648073372.98,490.3601017,399.35825684665815
3648073373.98,344.701414,296.81100332339923
3648073374.98,287.7708757,65.12721682878056
3648073375.98,305.3929657,-95.22155537511586
3648073376.98,544.7375588,593.1800710721909
3648073377.98,60.54505939,264.5533994522143
3648073378.98,507.9190247,184.56278498283703
3648073379.98,401.5593324,692.8766079505646
3648073380.98,541.7990964,641.4786810947903
3648073381.98,275.0235843,457.83824276081936
3648073382.98,531.8433512,232.18118942458446
3648073383.98,501.3665184,889.7691327220873
3648073384.98,462.2047767,504.2608012978336
3648073385.98,275.0615124,241.0723602280101
3648073386.98,461.8529696,88.39508167235886
3648073387.98,370.7849421,547.1988413187044
3648073388.98,335.0595944,30.644109383248708
3648073389.98,347.6787359,297.2815666482104
3648073390.98,258.31284,-47.01849376440718
3648073391.98,498.0372265,451.35946641126714
3648073392.98,220.2178352,376.9680934076002
3648073393.98,344.4933333,6.373372282275876
3648073394.98,528.4984596,643.9682229859363
3648073395.98,391.5401641,752.7467090271264
3648073396.98,252.5559394,66.71571706010906
3648073397.98,449.4093824,258.59525312405566
3648073398.98,437.809946,641.4262482524159
3648073399.98,12.59855198,132.24106577684353
3648073400.98,328.9629705,-20.000798052326147
3648073401.98,440.788921,495.63113002822166
3648073402.98,426.8937744,669.5267388220382
3648073403.98,239.9292076,257.7582061882197
3648073404.98,381.2671173,84.77951276850717
3648073405.98,403.9720632,559.9371141877481
3648073406.98,384.0900259,384.1360265522987
3648073407.98,409.8113626,500.2832701226933
3648073408.98,460.8332645,461.55949734312975
3648073409.98,533.6027592,842.9664926991081
3648073410.98,321.294507,372.71866829434936
3648073411.98,440.9580026,275.22559089139395
3648073412.98,249.1817111,169.68219114406884
3648073413.98,521.7194092,306.21653999335325
3648073414.98,25.61268338,351.92359316665943
3648073415.98,191.5812143,-147.66364111241782
3648073416.98,486.7090378,379.03632557269503
3648073417.98,561.3869522,1006.7597802300752
3648073418.98,413.824385,776.6877983707268
3648073419.98,465.1570227,419.0970169038575
3648073420.98,492.3621658,668.5555992566701
3648073421.98,386.6861807,418.20375851454946
3648073422.98,403.2628145,254.15382905685757
3648073423.98,532.8127649,516.9983811657734
3648073424.98,517.9756321,799.0102002675417
3648073425.98,412.2921266,432.41897159867943
3648073426.98,497.0435519,412.4151329480399
3648073427.98,503.0545406,598.0841221536101
3648073428.98,439.209491,495.72911362398975
3648073429.98,286.7107978,100.77865979504715
3648073430.98,457.7273969,147.68856784125146
3648073431.98,459.0845201,615.5700304591096
3648073432.98,166.8414101,99.97185797700809
3648073433.98,530.3325597,243.32868464205168
3648073434.98,312.7404023,628.9389461738226
3648073435.98,337.5308821,-55.21547161317207
3648073436.98,581.2752061,757.3727152784286
3648073437.98,410.1275001,677.3733860679945
3648073438.98,615.8918608,744.142632963429
3648073439.98,357.0723813,620.9597031797963
3648073440.98,539.4035485,329.4912755076553
3648073441.98,95.92714487,330.5332109443152
3648073442.98,359.2843888,-106.36545630852666
3648073443.98,375.3704252,392.80318127535503
3648073444.98,434.8916933,350.976153498769
3648073445.98,478.8313992,724.0193504772147
3648073446.98,190.4032775,203.76657523778366
3648073447.98,268.3602041,-8.139223539322819
3648073448.98,364.6625672,159.94832891053719
3648073449.98,0.0,185.90909350299285
3648073450.98,256.0845809,-133.45500685405773
3648073451.98,488.8337571,650.9013618241592
3648073452.98,158.0719487,417.1897338553081
3648073453.98,14.82736407,-27.000940311724197
3648073454.98,0.0,-39.288537656251556
3648073455.98,402.0071123,229.16741135633285
3648073456.98,39.66146032,330.6839665550385
3648073457.98,125.8793985,-78.27882081038311
3648073458.98,36.61828814,32.002891850368805
3648073459.98,250.5402314,49.814285934728055
3648073460.98,226.205145,340.42839164428244
3648073461.98,396.058429,473.8820677444481
3648073462.98,169.1884361,532.0413159378022
3648073463.98,218.4949582,-176.87644645839407
3648073464.98,545.3040823,814.8089998571422
3648073465.98,55.66594191,487.2697513496528
3648073466.98,263.7201687,-36.620656208567304
3648073467.98,251.7284593,204.14321985012742
3648073468.98,446.6414917,482.11182901785946
3648073469.98,411.5533084,826.327781522277
3648073470.98,407.3549528,542.9464729304293
3648073471.98,471.6890398,665.9289832355273
3648073472.98,321.5330886,486.9770029618486
3648073473.98,173.5114027,-62.82894487708765
3648073474.98,466.2079737,304.6384773921566
3648073475.98,146.0749074,327.53508178611446
3648073476.98,388.992182,54.15293795445656
3648073477.98,361.0225162,590.3327480920807
3648073478.98,354.5021871,336.94258700059277
3648073479.98,291.6191006,323.5900402700585
3648073480.98,516.0316359,412.64975255686414
3648073481.98,525.2148956,1101.7196883936886
3648073482.98,423.7942398,522.5901076419594
3648073483.98,592.3802964,818.4286029646662
3648073484.98,428.5814241,632.458128360819
3648073485.98,519.4290075,548.3698198146204
3648073486.98,195.1915212,195.21745042113434
3648073487.98,441.1229864,108.51737525464824
3648073488.98,388.8637526,430.60375364167317
3648073489.98,488.4766415,492.9990628646317
3648073490.98,469.166832,642.9903035087882
3648073491.98,491.5388767,612.8858324022879
3648073492.98,464.6843299,540.7227092577272
3648073493.98,486.5572322,576.8754455078207
3648073494.98,128.4839585,128.4951159883604
3648073495.98,196.1291535,27.343662276896687
3648073496.98,278.3611417,-93.71972262910236
3648073497.98,641.8388337,793.1076331692141
3648073498.98,6.773649511,512.5371683832394
3648073499.98,612.9723042,197.0963310796968
3648073500.98,336.5862649,994.2608877781404
3648073501.98,345.6438426,-18.638438133332716
3648073502.98,377.3098346,501.1145316309028
3648073503.98,2.216072062,-113.15258407330788
3648073504.98,528.3826496,392.43414229530225
3648073505.98,173.6232894,422.35954881935635
3648073506.98,473.5932685,216.95712738234784
3648073507.98,523.8293204,982.7747840102761
3648073508.98,432.1611486,693.0400925233922
3648073509.98,570.2305585,716.2642822718635
3648073510.98,349.5244076,641.2300330133032
3648073511.98,112.9232347,-126.9113687667309
3648073512.98,538.794836,329.0417817829012
3648073513.98,490.3072957,835.9222214071732
3648073514.98,442.3663486,642.9683939169308
3648073515.98,201.2209734,99.94234590484784
3648073516.98,492.1175539,219.3471910210587
3648073517.98,408.697594,665.5623400212612
3648073518.98,450.7371224,404.5422399756122
3648073519.98,516.5264942,722.7693500909866
3648073520.98,273.1812652,349.9756900867883
3648073521.98,99.46858045,-47.79808667247128
3648073522.98,17.85617642,30.120662359525205
3648073523.98,221.7694884,-25.32650550958209
3648073524.98,145.8034618,26.714553563724316
3648073525.98,81.56635449,-29.965655003397387
3648073526.98,140.5639923,37.82670651151198
3648073527.98,198.0935456,-33.14223768890016
3648073528.98,478.3789627,655.8402792773906
3648073529.98,218.9410152,709.4094629299083
3648073530.98,271.73704,12.880439418612688
3648073531.98,515.0151439,728.4644821771981
3648073532.98,478.9711908,970.2473132595117
3648073533.98,556.1957601,904.6503341863092
3648073534.98,531.7590199,915.1979386544701
3648073535.98,564.568257,795.1941287336084
