HNO3_190_Hz,HNO3_191_Hz,CalKey,IH20_145_Hz,I_127_Hz,time,N2ZeroKey,ScrubberZeroKey
9562.153369,628.6566146,0,1412332.058,2787986.946,3648072001,0,0
9293.06075,647.4112626,0,1405867.863,2777578.735,3648072002,0,0
9349.725395,650.3589451,0,1390897.751,2754637.146,3648072003,0,0
9496.84754,661.0030774,0,1416270.351,2795235.062,3648072004,0,0
9353.815764,653.4823682,0,1412341.785,2798951.34,3648072005,0,0
9099.984914,647.5632079,0,1398552.608,2771449.471,3648072006,0,0
9503.498673,642.7313667,0,1390629.005,2761250.305,3648072007,0,0
9107.805043,673.6127194,0,1411847.305,2787542.152,3648072008,0,0
9504.8666,636.8694827,0,1418083.763,2802676.582,3648072009,0,0
9243.735671,692.5975438,0,1403398.418,2781533.813,3648072010,0,0
9252.611548,621.1203523,0,1395207.596,2773243.523,3648072011,0,0
9394.706041,659.7353145,0,1427631.664,2824511.337,3648072012,0,0
9331.473708,651.512621,0,1426151.848,2810912.704,3648072013,0,0
9471.199661,683.0098573,0,1411658.382,2790743.446,3648072014,0,0
9508.863837,691.7831954,0,1406122.494,2782254.41,3648072015,0,0
9331.747144,660.8555559,0,1404579.449,2766399.956,3648072016,0,0
9357.778728,659.6277002,0,1408708,2781620.598,3648072017,0,0
9340.803325,699.1353352,0,1397638.416,2768599.701,3648072018,0,0
9464.024007,647.1146829,0,1427121.83,2832133.484,3648072019,0,0
9276.371449,654.4161588,0,1405745.792,2778944.016,3648072020,0,0
9374.638647,628.4303963,0,1420024.776,2796598.816,3648072021,0,0
9400.265664,707.4106019,0,1406434.155,2783167.839,3648072022,0,0
9454.134852,696.1176638,0,1432661.057,2821848.297,3648072023,0,0
9400.21798,637.720013,0,1410114.098,2777955.246,3648072024,0,0
9539.604187,662.196381,0,1424487.591,2806940.46,3648072025,0,0
9557.050467,670.536235,0,1419643.402,2812461.853,3648072026,0,0
9374.851733,668.7126122,0,1427005.482,2811321.831,3648072027,0,0
9184.973687,686.9738456,0,1408949.852,2772216.415,3648072028,0,0
9431.075305,702.0370569,0,1427977.085,2799815.369,3648072029,0,0
9404.719621,663.1464697,0,1397770.405,2772684.669,3648072030,0,0
9382.549673,690.5769464,0,1425776.1,2824101.257,3648072031,0,0
9452.552348,652.3524877,0,1419102.573,2807643.89,3648072032,0,0
9326.454252,623.3443972,0,1406813.145,2772402.954,3648072033,0,0
9281.940013,653.2757077,0,1403269.768,2782771.301,3648072034,0,0
9328.401834,596.5579301,0,1413666.821,2804115.295,3648072035,0,0
9233.294427,655.4723252,0,1408634.186,2792041.969,3648072036,0,0
9458.711743,561.7238116,0,1425174.904,2817900.467,3648072037,0,0
9236.85506,629.8189517,0,1411611.366,2784061.432,3648072038,0,0
9347.959608,599.2433522,0,1418360.615,2807209.015,3648072039,0,0
9127.020836,644.5576902,0,1414354.897,2780518.341,3648072040,0,0
9211.144596,624.0492687,0,1397388.172,2766678.238,3648072041,0,0
9470.112622,644.2385726,0,1423614.502,2814799.881,3648072042,0,0
9514.147788,668.2062522,0,1424544.43,2818050.766,3648072043,0,0
9442.322701,587.1526897,0,1430174.541,2826207.924,3648072044,0,0
9427.034855,592.0258351,0,1427625.847,2825987.625,3648072045,0,0
9351.00764,494.9938972,0,1427188.873,2818159.294,3648072046,0,0
9423.63441,640.6079512,0,1413973.904,2800752.64,3648072047,0,0
9361.939132,540.0107708,0,1396266.365,2779910.66,3648072048,0,0
9336.04911,635.3893783,0,1404047.489,2776524.544,3648072049,0,0
9450.498968,521.0523494,0,1415021.801,2794627.19,3648072050,0,0
9355.045855,600.9375677,0,1415865.898,2801317.024,3648072051,0,0
9145.621955,616.1021534,0,1405202.389,2792439.079,3648072052,0,0
9340.110421,613.8969678,0,1405934.429,2770439.911,3648072053,0,0
9219.644964,632.7832118,0,1424439.43,2809725.189,3648072054,0,0
9484.97653,627.7727894,0,1431885.719,2817865.562,3648072055,0,0
9291.383624,630.441308,0,1409035.873,2786536.217,3648072056,0,0
9346.007556,548.6441776,0,1416893.482,2797838.402,3648072057,0,0
9328.753501,588.6971485,0,1437852.573,2831041.718,3648072058,0,0
9442.792088,534.8677747,0,1430737.782,2818610.954,3648072059,0,0
9361.565113,441.7358898,0,1422656.918,2812005.615,3648072060,0,0
9077.531844,679.9562834,0,1410528.278,2775864.792,3648072061,0,0
9347.266704,607.146183,0,1417498.398,2788522.72,3648072062,0,0
9436.181933,526.0544829,0,1417540.55,2798200.226,3648072063,0,0
9417.40945,533.8133778,0,1413975.525,2796417.046,3648072064,0,0
9182.010591,675.9221666,0,1423985.1,2796481.705,3648072065,0,0
9281.492233,310.82856,0,1424645.996,2795049.095,3648072066,0,0
9253.454953,689.827837,0,1423266.411,2804941.94,3648072067,0,0
9410.180897,524.831051,0,1409465.218,2789636.993,3648072068,0,0
9361.094236,521.3918164,0,1419278.24,2794124.413,3648072069,0,0
9341.37553,494.6815316,0,1403186.703,2766522.789,3648072070,0,0
9294.629097,534.5405079,0,1412335.968,2787840.843,3648072071,0,0
9341.8926,521.6516089,0,1406693.935,2778380.966,3648072072,0,0
9501.373023,654.8012607,0,1405025.101,2783477.974,3648072073,0,0
9341.982007,677.6791997,0,1416194.82,2798172.379,3648072074,0,0
9427.765757,462.9341885,0,1420301.151,2805053.902,3648072075,0,0
9475.03373,693.5636979,0,1415083.313,2798805.618,3648072076,0,0
9483.330697,598.5429045,0,1425183.964,2819014.549,3648072077,0,0
9565.061331,658.145966,0,1425045.681,2806180,3648072078,0,0
9573.630989,485.0045778,0,1421140.957,2803419.113,3648072079,0,0
9289.109707,560.0149278,0,1406096.649,2776788.521,3648072080,0,0
9097.246826,311.8022112,0,1397722.244,2773159.79,3648072081,0,0
9397.534281,661.6527215,0,1415148.64,2791585.35,3648072082,0,0
9168.758988,647.3944988,0,1405999.947,2777157.593,3648072083,0,0
9501.063079,718.4332702,0,1425919.342,2798748.779,3648072084,0,0
9413.471073,613.5002244,0,1423816.109,2808300.018,3648072085,0,0
9368.821234,608.198205,0,1415762.901,2786105.919,3648072086,0,0
9509.29746,640.911283,0,1453331.757,2849501.038,3648072087,0,0
9402.026236,554.8101384,0,1408121.872,2769894.981,3648072088,0,0
9294.594824,557.6753058,0,1412117.577,2789282.227,3648072089,0,0
9286.212176,579.8965693,0,1428545.189,2803931.236,3648072090,0,0
9552.315623,657.9918787,0,1421533.489,2785969.734,3648072091,0,0
9146.64343,520.3371402,0,1423467.636,2779675.865,3648072092,0,0
9546.012431,393.2719119,0,1444027.138,2827370.834,3648072093,0,0
9290.602058,599.6915977,0,1428034.496,2809333.992,3648072094,0,0
9262.403846,495.128287,0,1403078.461,2753886.414,3648072095,0,0
9216.123819,325.9318881,0,1418160.343,2776619.72,3648072096,0,0
9230.62861,500.631053,0,1419623.756,2802568.626,3648072097,0,0
9329.792857,618.7746301,0,1414391.518,2787815.285,3648072098,0,0
9214.938432,421.9116177,0,1408511.734,2772821.617,3648072099,0,0
9263.04087,465.1553929,0,1428608.513,2816651.344,3648072100,0,0
9271.843731,300.6287152,0,1412197.971,2780138.588,3648072101,0,0
9362.412989,439.2518662,0,1414437.58,2789188.004,3648072102,0,0
9203.498811,302.7253784,0,1402433.395,2753030.777,3648072103,0,0
9503.789246,517.5966304,0,1446641.922,2839309.311,3648072104,0,0
9428.82672,575.5147431,0,1421078.396,2798821.449,3648072105,0,0
9372.611344,447.8270654,0,1413668.346,2785468.483,3648072106,0,0
9348.670393,533.3601497,0,1423117.256,2804536.057,3648072107,0,0
9178.663045,519.6642131,0,1413632.679,2779635.239,3648072108,0,0
9203.990549,450.4050594,0,1413010.311,2771623.421,3648072109,0,0
9281.115979,661.2178404,0,1418070.889,2780884.171,3648072110,0,0
9245.295823,453.4782842,0,1409308.529,2775278.091,3648072111,0,0
9592.076391,517.4286664,0,1427304.935,2807221.603,3648072112,0,0
9423.779696,596.5230055,0,1434563.255,2817508.507,3648072113,0,0
9348.090738,566.4994475,0,1420599.747,2799923.706,3648072114,0,0
9436.737746,560.0528326,0,1437613.678,2833110.619,3648072115,0,0
9260.992706,542.8466946,0,1410391.712,2770878.41,3648072116,0,0
9424.106032,547.3503377,0,1418763.351,2792961.121,3648072117,0,0
9309.667349,414.5417362,0,1393769.932,2754323.959,3648072118,0,0
9413.133562,607.1828306,0,1414333.439,2781529.045,3648072119,0,0
9435.359389,466.9946153,0,1433742.046,2811900.902,3648072120,0,0
9258.29336,570.0018257,0,1421793.175,2800098.801,3648072121,0,0
9244.602919,546.7348266,0,1389403.82,2739792.252,3648072122,0,0
9396.894276,731.2495727,0,1438491.44,2827775.002,3648072123,0,0
9348.912537,702.6454899,0,1425026.226,2794831.276,3648072124,0,0
9458.258003,729.2089984,0,1427703.19,2805519.104,3648072125,0,0
9281.827509,619.7515409,0,1419135.666,2803941.917,3648072126,0,0
9340.631962,667.2712509,0,1401352.787,2763924.217,3648072127,0,0
9302.394092,673.5151634,0,1425759.029,2803320.122,3648072128,0,0
9308.414161,623.7580441,0,1429709.435,2804102.325,3648072129,0,0
9412.647784,603.2775622,0,1416864.109,2797245.026,3648072130,0,0
9435.498714,637.2957956,0,1434074.02,2826435.28,3648072131,0,0
9538.013488,627.4801213,0,1410193.825,2785794.258,3648072132,0,0
9194.713831,628.5055075,0,1413581.085,2783924.484,3648072133,0,0
9315.571189,649.492396,0,1410667.515,2774092.293,3648072134,0,0
