A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7
208.20775,236.9657,713.39447,325.98407,289.58167,257.84262,302.59631,188.48051,573.65979,324.39651,357.83215,257.25253,231.76749,520.93994,499.81799,252.91534,323.7645,385.31976,175.16362,335.46362,306.83127,351.80856,324.26221,473.25555,252.99261,299.65619,363.0307,115.19496,170.14938,179.67262,269.37781,171.11006,159.19493,202.51744,106.97232,140.14119,126.50861,94.645035,108.79124,115.12842,107.91846,106.35273,113.84338,102.9802,83.270882,101.49607,77.072281,89.883163,75.498138,99.889732,70.555328,68.315987,72.344131,63.40937,72.317368,63.969124,59.939655,63.774181,52.822609,47.667538,50.504086,41.041576,43.449631,34.102772,41.305622,36.842438,33.436256,37.903931,34.416172,33.878983,33.897293,35.15535,34.139271,33.102631,30.497057,31.816727,29.517349,27.637894,28.578838,28.72595,30.675577,27.113356,26.103252,27.258209,25.347994,25.797001
110.05061,240.13054,1046.4634,453.56604,163.19682,296.94775,285.74295,270.60577,476.30142,296.07578,279.8956,351.39331,436.89709,331.3252,506.08194,203.0186,287.09201,345.32626,250.23918,313.7135,696.16077,387.69479,184.02066,177.35419,163.90694,329.93048,268.37463,153.17041,151.66563,181.67749,256.34076,191.00423,155.98434,156.52827,132.36586,130.06435,124.04069,93.978096,107.76464,111.88277,99.62075,100.81236,94.733932,83.928818,84.139313,106.45173,94.333054,93.343681,90.768768,79.939484,81.447617,74.74395,86.732719,55.838577,54.757301,65.382652,56.080414,55.926826,50.885933,51.643902,38.665039,41.875229,44.700855,42.227837,33.855717,37.259869,36.537243,35.759979,34.304218,32.016434,29.587389,27.945902,29.180536,26.867239,31.819494,31.046843,28.5292,28.856895,27.210329,28.454073,27.022694,25.164772,25.911545,25.500704,23.545921,24.382214
337.19388,269.36707,816.62384,417.03882,228.55563,215.51807,331.24179,316.14047,255.93231,218.65448,364.07803,231.31267,239.52037,327.50266,650.61798,428.2453,395.793,266.6449,317.07455,350.64154,591.52368,471.92041,325.61688,488.60672,263.81573,225.32129,367.76062,153.47954,217.18825,159.51872,235.72507,113.95643,134.54552,149.41547,133.26808,109.36956,107.11914,125.80765,110.66929,107.0351,126.94535,84.788033,120.84544,90.248909,93.216438,98.297714,83.450737,107.81469,85.158333,82.38858,79.55529,83.926674,75.075745,64.473717,63.103008,59.149876,58.267918,61.055248,42.524143,49.869743,47.20253,44.538712,41.077763,38.133129,37.847687,35.998974,38.268692,37.432133,35.154442,34.418076,36.261536,29.52005,28.565947,28.989622,28.286758,29.973213,27.614109,29.024061,26.698174,29.298809,26.401857,26.633921,26.315653,26.134661,24.85364,23.812021
95.718391,158.62619,701.729,386.64642,191.59532,266.10748,172.15007,244.36964,297.30734,242.58701,367.6283,293.27472,165.46759,261.13443,387.57065,258.79697,458.36795,256.11902,229.02472,359.13071,455.90662,183.4633,428.95834,613.62122,635.94836,267.97372,361.32471,163.95982,93.312195,154.04321,210.39345,112.65662,160.80843,162.64767,105.27729,106.22198,121.35556,93.809105,112.10955,109.02998,105.76669,126.80655,112.13416,102.83967,99.572998,145.47836,93.271431,89.35051,80.968414,67.100166,75.139946,88.969505,73.364227,72.030518,57.204159,66.191109,58.044701,58.383732,49.584518,42.317001,45.195133,46.851448,42.336803,35.254498,41.657642,36.579906,34.929237,33.544563,33.557728,33.501842,34.112213,34.068226,31.923277,30.507059,30.134501,30.114067,28.808886,27.343025,25.015919,25.886213,27.457161,26.757093,25.278412,25.480585,23.219545,24.731806
204.96335,195.24893,663.82385,287.75562,154.25403,189.10506,224.85789,153.4538,356.66049,251.93561,371.91458,333.92654,283.94522,600.80103,411.40399,293.39905,307.20804,252.67526,258.03568,388.88699,217.52472,289.04602,244.83957,370.66898,870.16266,310.92474,252.80148,157.09131,139.14267,131.42085,253.8591,119.48991,133.13924,136.39798,109.66135,131.11702,131.14549,131.3799,114.79002,111.9213,116.31086,100.51863,67.585876,104.9343,101.61182,90.466301,88.321327,68.88205,87.694633,66.051025,64.704536,78.32708,86.339897,56.543427,66.403099,70.880157,57.608086,48.977573,51.906315,50.737118,47.762604,45.862545,46.721626,43.052967,43.370251,37.845367,40.340248,37.132256,33.378265,37.314922,36.656078,34.354462,33.328281,34.602322,31.074594,28.921234,29.958826,29.698963,27.623503,27.064087,25.793791,23.796181,25.204168,25.685467,23.552975,23.962725
404.7977,446.1207,619.54883,405.46149,279.0835,225.56952,253.5452,160.13078,310.21527,320.60046,317.59637,337.74603,370.82138,480.38867,580.8219,383.03357,377.93085,181.69695,282.97931,532.89264,505.9212,325.26849,202.61829,277.38846,608.49164,223.935,321.00623,92.70163,170.77144,181.96086,311.78235,162.9209,117.41532,153.92012,151.11499,106.92033,127.36125,111.685,110.71048,115.58401,129.40263,101.57001,125.33392,121.03764,73.420044,97.364082,83.593506,101.34815,87.629189,78.218521,74.413811,73.971169,81.777237,61.924828,66.253128,65.448837,59.38406,59.462898,41.194298,58.223663,47.579105,46.254063,45.633209,40.736736,44.923801,42.357513,41.984161,39.955219,41.328751,36.664974,42.007172,34.067257,34.327591,29.115242,33.321121,32.244156,31.454918,29.917967,29.042612,28.678885,27.39255,27.83674,27.407635,26.407728,24.438404,26.109903
184.10909,339.79776,635.9917,302.95395,320.04016,139.25845,240.78558,330.67722,402.59579,190.26077,306.95148,234.34135,229.0797,488.875,532.70416,273.4339,201.46909,347.45013,162.04224,341.12521,624.59259,495.9903,664.93457,398.70929,228.72955,251.79663,279.75757,167.73576,144.02243,137.28415,213.72171,182.39288,143.03638,169.78041,115.86359,108.02631,97.113266,124.14219,116.43475,106.51016,122.77989,95.647346,107.7447,81.341553,77.137138,89.842117,80.472107,97.930626,84.546982,73.579422,73.300911,76.406662,74.759659,76.157814,66.626198,75.066132,59.063225,61.169888,57.911079,52.891323,49.313751,50.258286,46.618607,40.778622,40.413677,38.070347,45.060116,41.166359,41.60532,41.875107,43.271412,35.666752,33.774063,35.675621,32.833134,30.669188,31.752405,28.828367,29.258619,26.669291,27.365389,26.921101,25.036335,25.691675,25.110674,24.728489
214.72575,185.99068,692.87006,158.97717,172.48447,145.49733,298.27936,199.12387,381.76703,281.91653,411.89301,160.50322,325.54623,348.81842,471.44131,333.88013,491.63327,493.73361,392.84534,483.97229,539.07764,693.49396,261.74005,200.41331,188.81166,246.09428,274.71277,154.64093,220.51605,172.72783,224.78574,119.82345,148.33366,166.3279,100.46334,85.230675,111.94718,117.94799,131.89722,86.376572,96.352676,92.270004,75.247513,89.114906,78.649124,74.42968,67.909271,98.970825,71.745598,68.463867,74.089088,85.80201,80.726723,61.754841,58.763462,62.076385,66.495956,61.936516,56.783031,55.360321,47.735672,47.715977,42.739689,40.86882,40.648804,42.196674,39.855289,34.780048,36.558071,35.694332,35.858631,32.025627,29.454018,32.699703,32.888981,33.226501,31.884726,28.554682,27.692417,25.025997,24.759129,26.342007,24.816734,25.488932,24.981394,25.392895
276.99271,181.93517,778.77155,134.1907,193.94188,163.41827,200.43724,152.61926,332.50412,318.51636,171.33951,268.5603,378.02213,192.43034,379.35358,370.85468,660.50842,1999.6388,1047.3591,586.40894,644.40057,804.30975,283.67322,197.16792,239.06703,170.57274,244.76143,118.41393,204.12724,192.21199,235.17867,164.42407,115.38592,173.14218,81.853523,105.73869,128.18495,103.01617,103.12666,117.12178,115.31548,90.38311,102.77878,61.069462,98.767159,95.63443,79.85408,68.904381,71.88929,79.6754,60.661659,65.576164,89.188835,65.380653,56.983788,60.221504,63.494598,50.359276,48.429874,54.098473,51.282604,52.420101,54.130829,51.695007,49.701527,51.475445,51.865112,44.358379,42.215221,40.343147,40.772217,35.149998,32.797085,34.418018,32.970024,36.755344,32.894157,29.963581,29.004187,26.608007,26.150545,26.967531,25.109703,26.159849,24.756523,23.427921
179.62656,130.40109,661.89667,279.02667,241.73291,234.2941,275.21649,249.98698,197.8488,233.51938,346.8269,256.30594,316.5152,455.69241,515.65552,384.01855,547.68567,1723.5518,952.00128,395.86557,300.70645,467.41666,252.80949,261.96368,230.74043,153.82414,376.06335,127.0833,113.84788,194.93929,221.64409,103.07011,140.23865,174.98074,112.14576,112.91229,161.37805,102.1084,93.003891,105.26167,97.012436,84.262253,78.311752,83.816177,80.82534,85.593697,70.610611,97.464554,88.119324,71.963516,56.588291,64.218773,63.422874,55.856792,55.467522,58.623981,63.156807,47.162109,39.755478,39.2607,39.185043,43.136158,39.523014,37.812965,31.294127,41.180393,36.12112,36.299469,32.793079,33.470531,28.64719,30.467688,29.495117,28.569912,27.088718,28.382832,23.721674,25.62859,24.708441,24.586683,22.54903,21.720381,21.568426,25.648895,22.564661,23.62603
