A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7,B7
625.56,355.222,591.316,345.879,273.693,507.464,826.557,1116.97,317.902,244.299,279.409,227.618,352.183,267.131,422.419,298.653,115.384,518.997,337.236,380.109,420.304,509.265,446.915,777.048,436.4,291.252,246.345,182.776,164.425,134.117,250.679,160.023,111.565,167.191,119.269,192.977,149.032,114.452,138.862,127.912,122.288,100.66,96.7703,103.471,89.3133,90.7195,83.4526,70.0389,79.5234,78.0494,78.2279,63.5766,56.6984,63.0542,56.0836,67.1965,54.1897,54.1229,44.2929,44.6185,43.7971,39.2371,36.8683,41.7435,36.2065,36.6351,34.8342,33.4899,32.4005,34.111,31.7612,34.7347,32.0315,30.6897,30.2345,28.313,30.4665,26.7326,27.0542,25.8605,25.3472,25.5686,24.3381,26.0575,23.4476,22.2396,
554.434,359.907,687.995,512.957,325.471,859.911,546.103,922.15,222.718,435.016,313.486,424.053,267.945,120.679,478.012,245.597,173.523,378.84,266.418,300.219,335.319,387.362,495.985,750.936,375.089,153.765,211.118,139.594,165.399,152.335,227.455,155.462,134.663,153.926,166.181,188.693,189.128,104.399,123.69,87.5127,98.1061,103.405,75.6466,76.7647,90.4361,78.9131,72.947,86.3125,58.3592,77.6106,79.0308,67.3314,57.2947,51.6728,54.4072,48.8306,70.0723,50.827,51.4298,44.1676,46.7335,46.5218,35.6333,39.8165,35.4953,37.6739,36.4377,38.0235,33.1421,31.3014,34.7788,30.5218,33.708,29.2738,28.2471,32.9172,27.6879,30.0452,29.3207,30.1041,27.2919,24.254,25.7416,24.7156,23.7203,25.4244,
801.222,511.597,975.889,601.024,436.155,228.886,727.572,642.647,353.181,422.05,346.887,120.136,227.051,301.826,393.638,254.292,337.44,463.206,244.669,347.134,444.955,311.612,364.777,347.586,224.834,177.949,279.46,136.198,212.756,151.824,215.259,132.85,143.405,172.652,117.256,220.247,198.556,75.5232,117.098,105.206,94.1779,83.6405,106.331,90.564,104.715,72.071,62.6972,70.0769,66.5807,80.5855,94.3654,56.5425,63.3271,48.9244,70.9919,50.8003,73.3459,55.8001,49.2063,44.4833,44.5529,40.6727,44.6162,43.0408,34.1267,40.482,43.6476,39.7494,36.3812,30.0598,35.8259,34.9169,37.8326,33.4886,31.6867,32.0575,27.7966,30.3609,28.4895,25.2513,26.9213,25.5985,26.5047,25.2525,23.2816,23.626,
358.09,385.473,687.449,567.645,567.714,366.451,705.932,946.196,318.068,200.767,169.355,144.687,262.942,239.512,427.111,211.285,308.851,604.068,359.31,440.13,493.114,343.635,346.006,559.583,390.021,230.551,231.357,184.172,174.802,276.264,212.759,148.883,139.084,188.475,144.072,187.594,194.085,114.085,122.481,109.373,84.2386,155.24,80.2437,77.9592,72.0266,79.2486,66.0254,92.1182,96.6183,75.0639,71.1632,86.1226,63.956,53.7821,66.639,66.3917,64.692,67.8814,48.4094,51.1473,43.264,45.9351,42.0351,42.3794,39.8071,45.0445,35.8481,37.812,40.4485,31.4869,34.4152,33.7821,38.4557,36.1435,30.8759,33.3667,32.8078,29.4003,27.603,31.108,29.6869,27.145,26.9803,25.6431,25.5097,25.0387,
321.6,290.038,658.794,690.859,532.778,438.369,544.809,964.568,519.409,270.79,297.601,96.5683,262.044,222.186,430.356,341.444,275.081,617.779,311.193,445.693,537.044,304.932,312.576,311.009,187.476,249.989,409.156,149.04,201.981,366.224,279.486,130.648,137.557,143.629,113.988,230.335,205.925,111.051,101.865,100.132,89.5445,121.186,96.5408,75.7681,76.4359,94.2288,86.4753,74.9259,72.5236,72.8725,59.3129,68.2179,56.7594,49.186,66.7166,68.7348,41.9222,65.6441,52.7041,51.5326,44.0922,45.385,41.3255,40.1075,36.837,40.6176,38.6115,36.9698,39.1013,33.4837,29.3245,36.0626,34.916,29.1753,30.5854,31.386,31.811,27.6687,27.505,29.3422,27.533,25.3746,26.6623,23.3922,23.9259,24.1246,
718.317,331.744,541.115,328.02,285.912,415.504,670.847,882.938,201.98,218.026,110.575,227.087,203.536,203.397,372.306,238.31,163.676,635.015,427.374,477.592,547.118,370.677,361.758,384.361,207.448,258.44,228.735,141.219,208.018,351.904,346.63,289.839,186.253,140.243,119.441,202.412,219.375,98.4255,103.107,92.3662,110.844,106.43,95.2217,62.3693,87.1305,96.4667,74.1149,81.2707,66.4388,78.304,66.8796,63.8151,59.3886,51.4608,54.7517,52.5509,63.4934,53.522,45.3337,35.8046,43.4644,42.6353,37.3573,40.8569,37.5673,36.945,37.3145,36.1403,38.6108,31.5052,32.7955,36.2453,36.4026,29.532,30.3269,28.1812,31.844,28.9015,26.4231,25.3637,23.6535,25.0828,25.758,25.8439,23.4935,23.264,
440.661,520.846,763.246,225.648,324.252,374.162,482.078,216.06,107.035,120.606,122.73,113.1,119.456,154.166,524.173,128.951,173.261,467.585,129.004,273.911,411.538,401.594,584.818,893.069,642.541,407.884,191.904,126.001,119.404,194.13,318.54,228.439,170.87,173.335,138.377,158.675,245.42,205.322,141.577,127.783,92.0148,100.203,87.5851,86.7642,101.748,90.5762,61.0988,86.1014,72.4503,98.1599,75.9131,53.4953,62.6882,54.7126,55.4972,54.2591,52.0278,43.9474,40.3788,41.7989,39.5402,39.7171,42.1897,31.2989,32.2872,35.0948,30.4176,28.3057,26.6221,28.9657,28.6502,28.4834,28.0816,27.5396,25.62,26.6181,23.1918,26.3188,25.3511,23.054,23.0369,22.8028,22.8316,22.5618,22.4601,21.1104,
409.068,385.131,538.893,296.281,464.945,426.113,555.299,256.855,112.837,157.38,245.558,233.938,143.142,166.98,451.187,366.208,285.977,394.301,141.571,262.98,384.036,306.165,599.516,229.602,369.26,299.781,369.031,434.142,582.919,849.96,260.56,190.513,170.948,179.553,103.996,191.61,148.028,145.25,137.253,187.629,98.5889,78.1844,107.347,118.202,103.25,85.2573,93.497,100.449,76.0507,96.4676,80.7682,81.2365,74.5265,54.0475,56.3148,69.1201,64.6774,56.2025,46.857,40.4528,43.6787,43.3222,40.8296,37.1222,33.8575,33.8255,31.7719,29.9901,26.968,30.3324,30.5475,31.1982,29.1445,29.5979,28.1869,24.9935,26.2877,25.1706,24.4759,23.2264,22.1296,23.1161,24.0609,23.6943,22.4272,21.0419,
281.52,461.752,802.242,544.359,674.848,309.209,233.389,408.696,165.67,141.809,296.442,229.73,290.125,207.44,413.461,118.942,171.41,451.671,502.444,429.153,392.826,322.212,281.523,451.456,220.579,149.815,275.229,123.552,134.506,412.051,1088.33,577.427,422.202,160.839,114.314,152.263,158.378,111.08,118.348,105.964,92.7182,99.5293,94.2935,95.1997,90.6036,107.596,73.6467,98.0273,92.2056,92.5098,70.9616,83.7606,67.5044,68.3928,79.0977,58.8238,61.2506,63.3938,55.0213,50.5344,44.6991,41.4219,38.7752,35.5208,33.1825,35.0226,35.1248,32.5731,27.6888,27.8677,25.882,26.67,26.9804,25.1515,23.7719,25.7052,23.4963,24.4396,25.0436,23.1985,22.4887,21.512,20.9312,21.5807,21.8782,21.2515,
337.868,136.921,837.456,494.361,393.609,318.98,893.708,463.681,168.697,208.061,178.13,144.771,209.721,221.047,395.388,268.683,218.212,610.154,323.634,440.918,557.719,290.368,476.06,363.755,296.085,248.518,328.644,190.176,198.201,115.111,260.102,204.018,173.651,292.755,131.459,174.786,156.699,95.2968,132.109,97.4336,98.919,99.5342,99.1967,89.3685,110.572,117.278,83.5075,76.4914,79.4004,80.2427,57.9528,69.5586,58.1148,59.344,61.2015,50.8365,49.2177,42.418,38.5517,40.747,46.0086,41.8125,38.0883,32.6251,32.5096,30.1165,32.7897,28.4621,30.96,26.7693,27.693,29.7531,30.482,28.0988,28.1685,25.5525,25.4318,25.1957,26.0826,22.909,23.3907,24.7593,23.6183,22.2951,22.6492,21.5968,
